id_r,Longitude,Latitude,Altitude,Time,TimeStamp
22,-73.5888444,45.4853889,49.4879772,2019:01:13 18:33:13,18:33:13
23,-73.5888139,45.4854000,49.5364610,2019:01:13 18:33:15,18:33:15
24,-73.5887917,45.4854139,49.5634117,2019:01:13 18:33:16,18:33:16
25,-73.5887667,45.4854306,49.6074943,2019:01:13 18:33:17,18:33:17
26,-73.5887361,45.4854361,49.6668377,2019:01:13 18:33:18,18:33:18
27,-73.5887222,45.4854444,49.6831027,2019:01:13 18:33:19,18:33:19
28,-73.5887139,45.4854556,49.7083840,2019:01:13 18:33:20,18:33:20
