Varibale_1,Varibale_2,Varibale_3,Label
1.384635651,0.1519756,1.165861324,1
-0.515961054,-1.384515242,-0.388490784,0
1.356836174,0.112954377,1.162050898,1
1.440078949,0.149682196,1.01893833,1
1.530741236,0.142555324,0.774503288,1
1.501130994,0.082570687,0.73346262,1
1.521077922,0.011662062,0.54893459,1
1.455761967,0.256034574,1.179335213,1
1.881410664,0.33284191,-1.030656112,1
1.876033907,0.332391976,-1.016341913,1
1.768099923,0.212275919,-0.972128011,1
1.834469119,0.26568473,-1.03827311,1
1.384302952,1.821099633,0.093153135,1
1.19636178,1.741106889,0.415676013,1
1.299149052,1.756448374,0.182202716,1
1.284318228,1.72882474,0.172161909,1
1.244084553,1.540416445,0.400478338,1
-0.774200001,0.157307288,-0.563445793,0
-0.743390672,0.184058069,-0.592221275,0
1.36261834,1.620153117,0.252427269,1
-0.654387143,0.147254923,-0.889719043,0
-0.645809718,0.214695369,-0.781309157,0
-0.714482322,0.106608991,-0.808410422,0
-0.784444144,0.164588069,-0.523938826,0
-0.700376134,0.165786512,-0.73014722,0
1.217305764,1.556813118,0.497760125,1
1.377447459,1.597784639,0.171426822,1
-0.668805066,0.198965107,-0.747043873,0
1.40945782,1.63035816,0.152170268,1
1.286718685,2.128554068,-0.13453347,1
-0.72231716,0.747012242,-1.116646133,0
1.311120663,2.164777923,-0.128442466,1
1.252279867,2.164273959,0.020761107,1
-0.741771203,0.840699505,-0.887808157,0
-0.709089558,0.807399912,-1.033663129,0
1.210696647,2.073108104,-0.047073791,1
1.401736632,1.967850784,-0.656725166,1
1.375191538,1.968971529,-0.592640641,1
1.379905213,1.919961561,-0.693042177,1
1.329487889,1.956554305,-0.498931311,1
1.399979459,1.970271082,-0.647285561,1
1.459581994,1.977202861,-0.784610304,1
1.459142701,1.977807935,-0.782250403,1
1.443486642,1.985713678,-0.729195384,1
1.443047348,1.986318752,-0.726835483,1
1.442608055,1.986923827,-0.724475582,1
1.376390866,1.924802157,-0.674162967,1
1.370798605,1.975022273,-0.569041628,1
1.40324826,2.00699072,-0.590658084,1
-0.611755643,0.634316895,-1.540264161,0
-0.567369874,0.648549341,-1.626893787,0
1.357105317,1.995178571,-0.494588853,1
-0.580477721,0.495090831,-1.634312703,0
-0.482250171,0.589786022,-1.703881872,0
1.392710971,1.841866842,-0.628303006,1
1.425160625,1.873835289,-0.649919462,1
-0.612317318,0.683395587,-1.204750977,0
-0.605148228,0.680350327,-1.227738634,0
-0.50539947,0.543712023,-1.733119179,0
1.444356285,1.925354958,-0.599443043,1
1.422964159,1.876860661,-0.638119955,1
-1.076088691,1.233057662,-1.580538388,0
1.263988352,1.975866823,0.05512307,1
-0.697654142,0.352097877,-1.50577416,0
1.481142969,0.669899102,-0.050341839,1
-0.460053794,-0.668761996,-1.121511791,0
1.461140746,0.667431902,-0.003524909,1
1.43541216,0.659042339,0.281786688,1
-0.49115543,-1.041679012,-1.251115966,0
-1.053315576,0.307173875,0.691548422,0
-0.980007337,0.461862064,0.805989258,0
-0.489418082,-0.058708949,-1.406311742,0
-0.393285993,-0.842047053,-1.572331127,0
-0.967751985,1.401921032,-1.196752658,0
1.643785402,0.457721796,-0.112234476,1
1.603695373,0.431026048,0.074370651,1
-1.082639032,1.108739586,-1.588434487,0
1.87580522,0.743918361,-1.20189666,1
-0.297513126,-0.663361561,-1.821370569,0
1.896721189,0.744100516,-1.252667247,1
1.872031924,0.699768876,-1.272230835,1
-0.215370783,-0.636431971,-1.968875496,0
-0.28592585,-0.608191557,-1.745546592,0
1.73599672,0.802246441,-0.740593355,1
-0.228214062,-0.565668012,-1.811695545,0
-0.317359127,-0.391295897,-1.251482013,0
-0.294870545,-0.627184608,-1.759023029,0
1.650135581,0.719895636,0.010841166,1
1.768315876,0.17841453,-0.865849668,1
1.520012936,1.064534286,-0.36984436,1
1.373406515,0.775258762,0.109156266,1
-0.435941644,-0.746232051,0.257534438,0
2.255842748,-1.467793273,-2.049050862,1
0.307981956,-2.601782252,-2.714998678,0
1.961142354,-0.309335478,-1.591929096,1
-0.453061111,-1.385145813,-0.085739727,0
-0.440344825,-1.371995389,-0.092970368,0
-0.633518952,-0.355467067,-0.73043599,0
1.194956567,1.179371939,-0.090668582,1
0.995029797,1.963151285,0.418288853,1
1.168618669,1.83132973,-0.275518319,1
-1.329379196,1.708181214,0.762802546,0
1.100645434,2.245445874,-0.907793009,1
1.619981118,0.292189075,-0.522482901,1
1.691344502,0.502260115,-0.633151254,1
1.725323734,0.327283289,-0.624668095,1
1.733196411,0.631084497,-0.560740199,1
-0.821345355,0.084522566,1.246751136,0
1.071064886,2.724062342,-0.707255241,1
-0.952609455,1.255234713,-0.032223388,0
0.95600494,2.75246468,1.497264409,1
1.12508111,1.979877651,-0.376382067,1
1.156905227,2.223444453,-0.836410285,1
-0.87366727,0.520720835,-1.550061875,0
-1.148500278,1.350325229,0.367209789,0
-1.143739565,1.437794086,0.16543531,0
-0.922461941,0.740452136,-1.698309735,0
-1.110346552,1.393932584,0.606874591,0
0.735123041,2.889745885,-1.15356425,1
-1.241212727,1.499363075,-2.235628185,0
-1.142375445,1.60919894,-2.27748604,0
-0.682743779,0.644639553,-1.876512814,0
-1.174109373,1.68034419,-2.097296399,0
-0.522597929,-0.501044709,-2.408030472,0
2.594575923,-2.469570156,-2.277536269,1
0.640548057,-3.558619073,-2.853601737,0
2.784735454,-3.313928715,-1.895124723,1
2.708805575,-3.247081637,-1.578146543,1
2.398325248,-2.456634442,-1.75340653,1
0.408963165,-3.699287858,-2.516260199,0
0.132741857,-2.930911675,-2.185886474,0
1.92726544,-0.204291346,-1.738180675,1
0.518678563,-3.733102416,-2.869285998,0
2.539819017,-2.39260744,-2.001450367,1
2.41274491,-2.501802856,-1.88170796,1
2.39463914,-1.158977373,-2.498378116,1
2.532069099,-2.251388137,-1.713387045,1
0.507845231,-3.730375986,-3.049073638,0
-0.004894914,-1.769672218,-2.658936128,0
1.947934233,-0.965856759,-0.833598215,1
-0.479424599,-0.715181739,-2.505993574,0
-0.404512765,-1.08747768,-1.442530181,0
-0.837242167,-0.747763695,0.756615218,0
-0.490738063,-1.40579086,-1.355909876,0
-0.549763456,-0.696914936,-2.114488036,0
-0.598076472,-0.785640605,-2.161695177,0
-0.544652974,-0.722227104,-2.106418932,0
-0.545324258,-0.65635399,-1.979820514,0
-0.612024708,-0.686361133,-1.954527333,0
-0.528633612,-0.859307013,-2.066756948,0
-0.547963977,-0.732119148,-2.122006914,0
-0.513633846,-0.816408405,-2.068221197,0
1.53169627,0.217404133,-0.830281362,1
-0.1432189,-1.782378816,-2.736221284,0
2.049865196,-1.890397502,-1.00518115,1
-0.441890791,-1.203212,-1.982067458,0
1.473837928,0.267356197,-0.84199643,1
